player_name,team,season,position
Don Perkins,DAL,1966,RB
Dan Reeves,DAL,1966,RB
Les Shy,DAL,1966,RB
Frank Clarke,DAL,1966,TE
Pettis Norman,DAL,1966,TE
Buddy Dial,DAL,1966,WR
Pete Gent,DAL,1966,WR
Bob Hayes,DAL,1966,WR
J.D. Smith,DAL,1966,WR
Willie Brown,DEN,1966,DB
Billy Fletcher,DEN,1966,DB
Glenn Glass,DEN,1966,DB
Goose Gonsoulin,DEN,1966,DB
John Griffin,DEN,1966,DB
Bob Richardson,DEN,1966,DB
Lew Scott,DEN,1966,DB
Goldie Sellers,DEN,1966,DB
Nemiah Wilson,DEN,1966,DB
Lonnie Wright,DEN,1966,DB
Larry Cox,DEN,1966,DL
Marvin Davis,DEN,1966,DL
Jerry Inman,DEN,1966,DL
Ray Jacobs,DEN,1966,DL
Bill Keating,DEN,1966,DL
Max Leetzow,DEN,1966,DL
George Tarasovic,DEN,1966,DL
Gary Kroner,DEN,1966,K
John Bramlett,DEN,1966,LB
Don Gulseth,DEN,1966,LB
Jerry Hopkins,DEN,1966,LB
Gene Jeter,DEN,1966,LB
Archie Matsos,DEN,1966,LB
Ron Sbranti,DEN,1966,LB
Lee Bernet,DEN,1966,OL
Bob Breitenstein,DEN,1966,OL
Sam Brunelli,DEN,1966,OL
John Gonzaga,DEN,1966,OL
John Hohman,DEN,1966,OL
Larry Kaminski,DEN,1966,OL
Ray Kubala,DEN,1966,OL
Dan LaRose,DEN,1966,OL
Pat Matson,DEN,1966,OL
Jerry Sturm,DEN,1966,OL
Bob Young,DEN,1966,OL
Max Choboian,DEN,1966,QB
Scotty Glacken,DEN,1966,QB
John McCormick,DEN,1966,QB
Tobin Rote,DEN,1966,QB
Mickey Slaughter,DEN,1966,QB
Wendell Hayes,DEN,1966,RB
Abner Haynes,DEN,1966,RB
Mike Kellogg,DEN,1966,RB
Darrell Lester,DEN,1966,RB
Charley Mitchell,DEN,1966,RB
Max Wetterstein,DEN,1966,TE
Eric Crabtree,DEN,1966,WR
Al Denson,DEN,1966,WR
Jason Franci,DEN,1966,WR
Bob Scarpitto,DEN,1966,WR
Lionel Taylor,DEN,1966,WR
Jim Kearney,DET,1966,DB
Dick LeBeau,DET,1966,DB
Bruce Maher,DET,1966,DB
Wayne Rasmussen,DET,1966,DB
Johnnie Robinson,DET,1966,DB
Bobby Smith,DET,1966,DB
Bobby Thompson,DET,1966,DB
Tom Vaughn,DET,1966,DB
Roger Brown,DET,1966,DL
Larry Hand,DET,1966,DL
Alex Karras,DET,1966,DL
Jerry Mazzanti,DET,1966,DL
Darris McCord,DET,1966,DL
Jerry Rush,DET,1966,DL
Garo Yepremian,DET,1966,K
Ernie Clark,DET,1966,LB
Bill Cody,DET,1966,LB
Wally Hilgenberg,DET,1966,LB
Mike Lucci,DET,1966,LB
Lou Slaby,DET,1966,LB
Wayne Walker,DET,1966,LB
Mike Alford,DET,1966,OL
Ed Flanagan,DET,1966,OL
John Gordy,DET,1966,OL
Bob Kowalkowski,DET,1966,OL
Daryl Sanders,DET,1966,OL
Roger Shoals,DET,1966,OL
J.D. Smith,DET,1966,OL
Doug Van Horn,DET,1966,OL
Tom Myers,DET,1966,QB
Milt Plum,DET,1966,QB
Karl Sweetan,DET,1966,QB
Bobby Felts,DET,1966,RB
Joe Don Looney,DET,1966,RB
Amos Marsh,DET,1966,RB
Bruce McLenna,DET,1966,RB
Tom Nowatzke,DET,1966,RB
Jim Todd,DET,1966,RB
Jim Gibbons,DET,1966,TE
Ron Kramer,DET,1966,TE
Gail Cogdill,DET,1966,WR
John Henderson,DET,1966,WR
Bill Malinchak,DET,1966,WR
Pat Studstill,DET,1966,WR
Willie Walker,DET,1966,WR
Herb Adderley,GB,1966,DB
Tom Brown,GB,1966,DB
Doug Hart,GB,1966,DB
Dave Hathcock,GB,1966,DB
Bob Jeter,GB,1966,DB
Willie Wood,GB,1966,DB
Lionel Aldridge,GB,1966,DL
Bob Brown,GB,1966,DL
Willie Davis,GB,1966,DL
Henry Jordan,GB,1966,DL
Ron Kostelnik,GB,1966,DL
Jim Weatherwax,GB,1966,DL
Don Chandler,GB,1966,K
Lee Roy Caffey,GB,1966,LB
Tommy Crutcher,GB,1966,LB
Ray Nitschke,GB,1966,LB
Dave Robinson,GB,1966,LB
Phil Vandersea,GB,1966,LB
Ken Bowman,GB,1966,OL
Bill Curry,GB,1966,OL
Gale Gillingham,GB,1966,OL
Forrest Gregg,GB,1966,OL
Jerry Kramer,GB,1966,OL
Bob Skoronski,GB,1966,OL
Fuzzy Thurston,GB,1966,OL
Steve Wright,GB,1966,OL
Zeke Bratkowski,GB,1966,QB
Bart Starr,GB,1966,QB
Donny Anderson,GB,1966,RB
Jim Grabowski,GB,1966,RB
Paul Hornung,GB,1966,RB
Elijah Pitts,GB,1966,RB
Jim Taylor,GB,1966,RB
Bill Anderson,GB,1966,TE
Allen Brown,GB,1966,TE
Marv Fleming,GB,1966,TE
Carroll Dale,GB,1966,WR
Boyd Dowler,GB,1966,WR
Bob Long,GB,1966,WR
Red Mack,GB,1966,WR
Max McGee,GB,1966,WR
Fred Glick,HOU,1966,DB
W.K. Hicks,HOU,1966,DB
Bobby Jancik,HOU,1966,DB
Jim Norton,HOU,1966,DB
Bernie Parrish,HOU,1966,DB
Mickey Sutton,HOU,1966,DB
Allen Trammel,HOU,1966,DB
Theo Viltz,HOU,1966,DB
Scott Appleton,HOU,1966,DL
Gary Cutsinger,HOU,1966,DL
Don Floyd,HOU,1966,DL
Jim Hayes,HOU,1966,DL
Pat Holmes,HOU,1966,DL
Ernie Ladd,HOU,1966,DL
George Rice,HOU,1966,DL
Ed Scrutchins,HOU,1966,DL
Johnny Baker,HOU,1966,LB
Garland Boyette,HOU,1966,LB
Danny Brabham,HOU,1966,LB
John Carrell,HOU,1966,LB
Ronnie Caveness,HOU,1966,LB
Bobby Maples,HOU,1966,LB
John Meyer,HOU,1966,LB
Olen Underwood,HOU,1966,LB
George Allen,HOU,1966,OL
Sonny Bishop,HOU,1966,OL
John Frongillo,HOU,1966,OL
Glen Ray Hines,HOU,1966,OL
Rich Michael,HOU,1966,OL
Walt Suggs,HOU,1966,OL
Bob Talamini,HOU,1966,OL
John Wittenborn,HOU,1966,OL
George Blanda,HOU,1966,QB
Buddy Humphrey,HOU,1966,QB
Jacky Lee,HOU,1966,QB
Don Trull,HOU,1966,QB
Sid Blanks,HOU,1966,RB
Ode Burrell,HOU,1966,RB
Doug Cline,HOU,1966,RB
Hoyle Granger,HOU,1966,RB
John Henry Johnson,HOU,1966,RB
Donnie Stone,HOU,1966,RB
Charley Tolar,HOU,1966,RB
Bob McLeod,HOU,1966,TE
Bob Poole,HOU,1966,TE
Larry Elkins,HOU,1966,WR
Charley Frazier,HOU,1966,WR
Charley Hennigan,HOU,1966,WR
Solomon Brannan,KC,1966,DB
Jimmy Hill,KC,1966,DB
Bobby Hunt,KC,1966,DB
Willie Mitchell,KC,1966,DB
Bobby Ply,KC,1966,DB
Johnny Robinson,KC,1966,DB
Fletcher Smith,KC,1966,DB
Emmitt Thomas,KC,1966,DB
Fred Williamson,KC,1966,DB
Aaron Brown,KC,1966,DL
Buck Buchanan,KC,1966,DL
Chuck Hurston,KC,1966,DL
Ed Lothamer,KC,1966,DL
Jerry Mays,KC,1966,DL
Andy Rice,KC,1966,DL
Hatch Rosdahl,KC,1966,DL
Mike Mercer,KC,1966,K
Bud Abell,KC,1966,LB
Bobby Bell,KC,1966,LB
Walt Corey,KC,1966,LB
Sherrill Headrick,KC,1966,LB
E.J. Holub,KC,1966,LB
Smokey Stover,KC,1966,LB
Denny Biodrowski,KC,1966,OL
Ed Budde,KC,1966,OL
Tony DiMidio,KC,1966,OL
Wayne Frazier,KC,1966,OL
Jon Gilliam,KC,1966,OL
Dave Hill,KC,1966,OL
Curt Merz,KC,1966,OL
Al Reynolds,KC,1966,OL
Jim Tyrer,KC,1966,OL
Jerrel Wilson,KC,1966,P
Pete Beathard,KC,1966,QB
Len Dawson,KC,1966,QB
Bert Coan,KC,1966,RB
Mike Garrett,KC,1966,RB
Curtis McClinton,KC,1966,RB
Gene Thomas,KC,1966,RB
Fred Arbanas,KC,1966,TE
Reg Carolan,KC,1966,TE
Tommy Brooker,KC,1966,WR
Chris Burford,KC,1966,WR
Frank Pitts,KC,1966,WR
Otis Taylor,KC,1966,WR
Claude Crabb,LA,1966,DB
Irv Cross,LA,1966,DB
Hank Gremminger,LA,1966,DB
Chuck Lamson,LA,1966,DB
Ed Meador,LA,1966,DB
Clancy Williams,LA,1966,DB
George Youngblood,LA,1966,DB
Bruce Anderson,LA,1966,DL
Rosey Grier,LA,1966,DL
Deacon Jones,LA,1966,DL
Earl Leggett,LA,1966,DL
Lamar Lundy,LA,1966,DL
Merlin Olsen,LA,1966,DL
Bruce Gossett,LA,1966,K
